danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature
0.526, 0.92, 6, -4.082, 1, 0.0594, 0.00943, 0.00000347, 0.284, 0.635, 145.094, 180840, 4
0.636, 0.965, 2, -2.897, 0, 0.064, 0.0251, 0.00000112, 0.146, 0.531, 125.043, 215693, 4
0.602, 0.92, 8, -3.468, 1, 0.087, 0.00521, 0.0000164, 0.224, 0.548, 121.99, 202800, 4
0.501, 0.931, 1, -2.954, 0, 0.0793, 0.000369, 0.0123, 0.331, 0.439, 120.325, 340507, 4
0.479, 0.943, 4, -5.744, 1, 0.037, 0.000811, 0.0000353, 0.172, 0.716, 95.014, 218662, 4
0.403, 0.97, 0, -4.371, 0, 0.368, 0.00155, 0.00000145, 0.113, 0.13, 150.091, 251213, 4
0.513, 0.819, 8, -4.033, 1, 0.0389, 0.000668, 0, 0.0732, 0.343, 85.081, 207973, 4
0.648, 0.733, 9, -7.803, 0, 0.0306, 0.108, 0.00473, 0.113, 0.761, 96.003, 230693, 4
0.726, 0.761, 2, -4.585, 1, 0.163, 0.123, 0, 0.138, 0.642, 91, 206059, 4
0.589, 0.738, 0, -4.643, 0, 0.045, 0.212, 0, 0.196, 0.202, 145.011, 244136, 4
0.478, 0.934, 5, -5.51, 0, 0.049, 0.000985, 0.00166, 0.258, 0.875, 200.054, 190181, 4
